date,open,high,low,close,volumeUSD,marketCapUSD
2016-08-23,0,0,0,6.1e-09,0,1595015.0
2016-08-22,0,0,0,7.5e-09,0,1595015.0
2016-08-21,0,0,0,7.5e-09,0,1595015.0
2016-08-20,0,0,0,6.1e-09,0,1595015.0
2016-08-19,0,0,0,6.6e-09,0,1595015.0
2016-08-18,0,0,0,6.4e-09,0,1595015.0
2016-08-17,0,0,0,6.9e-09,0,1595015.0
2016-08-16,0,0,0,7.5e-09,0,1595015.0
2016-08-15,0,0,0,6.9e-09,0,1595015.0
2016-08-14,0,0,0,8.1e-09,0,1595015.0
2016-08-13,0,0,0,7.8e-09,0,1595015.0
2016-08-12,0,0,0,8.9e-09,0,1595015.0
2016-08-11,0,0,0,9.3e-09,0,1595015.0
2016-08-10,0,0,0,9.4e-09,0,1595015.0
2016-08-09,0,0,0,5.3e-09,0,1595015.0
2016-08-08,0,0,0,7e-09,0,1595015.0
2016-08-07,0,0,0,6.5e-09,0,1595015.0
2016-08-06,0,0,0,5.7e-09,0,1595015.0
2016-08-05,0,0,0,6.5e-09,0,1595015.0
2016-08-04,0,0,0,6.4e-09,0,1595015.0
2016-08-03,0,0,0,6.3e-09,0,1595015.0
2016-08-02,0,0,0,5.8e-09,0,1595015.0
2016-08-01,0,0,0,6.6e-09,0,1595015.0
2016-07-31,0,0,0,5.4e-09,0,1595015.0
2016-07-30,0,0,0,7.1e-09,0,1595015.0
2016-07-29,0,0,0,6.7e-09,0,1595015.0
2016-07-28,0,0,0,6.5e-09,0,1595015.0
2016-07-27,0,0,0,6.8e-09,0,1595015.0
2016-07-26,0,0,0,7.6e-09,0,1595015.0
2016-07-25,0,0,0,8.5e-09,0,1595015.0
2016-07-24,0,0,0,8.7e-09,0,1595015.0
2016-07-23,0,0,0,8.7e-09,0,1595015.0
2016-07-22,0,0,0,8.1e-09,0,1595015.0
2016-07-21,0,0,0,8.3e-09,0,1595015.0
2016-07-20,0,0,0,7.9e-09,0,1595015.0
2016-07-19,0,0,0,7.3e-09,0,1595015.0
2016-07-18,0,0,0,8.5e-09,0,1595015.0
2016-07-17,0,0,0,9.6e-09,0,1595015.0
2016-07-16,0,0,0,5.5e-09,0,1595015.0
2016-07-15,0,0,0,8e-09,0,1595015.0
2016-07-14,0,0,0,7.8e-09,0,1595015.0
2016-07-13,0,0,0,9.1e-09,0,1595015.0
2016-07-12,0,0,0,1.06e-08,0,1595015.0
2016-07-11,0,0,0,8.4e-09,0,1595015.0
2016-07-10,0,0,0,1.02e-08,0,1595015.0
2016-07-09,0,0,0,8.2e-09,0,1595015.0
2016-07-08,0,0,0,9e-09,0,1595015.0
2016-07-07,0,0,0,8.2e-09,0,1595015.0
2016-07-06,0,0,0,9.2e-09,0,1595015.0
2016-07-05,0,0,0,1.06e-08,0,1595015.0
2016-07-04,0,0,0,1.01e-08,0,1595015.0
2016-07-03,0,0,0,9.1e-09,0,1595015.0
2016-07-02,0,0,0,8.2e-09,0,1595015.0
2016-07-01,0,0,0,1.04e-08,0,1595015.0
2016-06-30,0,0,0,1.03e-08,0,1595015.0
2016-06-29,0,0,0,1.03e-08,0,1595015.0
2016-06-28,0,0,0,1.24e-08,0,1595015.0
2016-06-27,0,0,0,1.19e-08,0,1595015.0
2016-06-26,0,0,0,9.8e-09,0,1595015.0
2016-06-25,0,0,0,1.04e-08,0,1595015.0
2016-06-24,0,0,0,7.7e-09,0,1595015.0
2016-06-23,0,0,0,1.4e-08,0,1595015.0
2016-06-22,0,0,0,1.33e-08,0,1595015.0
2016-06-21,0,0,0,1.69e-08,0,1595015.0
2016-06-20,0,0,0,1.78e-08,0,1595015.0
2016-06-19,0,0,0,1.79e-08,0,1595015.0
2016-06-18,0,0,0,1.97e-08,0,1595015.0
2016-06-17,0,0,0,1.65e-08,0,1595015.0
2016-06-16,0,0,0,1.29e-08,0,1595015.0
2016-06-15,0,0,0,1.17e-08,0,1595015.0
2016-06-14,0,0,0,1.15e-08,0,1595015.0
2016-06-13,0,0,0,1.11e-08,0,1595015.0
2016-06-12,0,0,0,1e-08,0,1595015.0
2016-06-11,0,0,0,1.03e-08,0,1595015.0
2016-06-10,0,0,0,1.05e-08,0,1595015.0
2016-06-09,0,0,0,1.17e-08,0,1595015.0
2016-06-08,0,0,0,8.4e-09,0,1595015.0
2016-06-07,0,0,0,9.1e-09,0,1595015.0
2016-06-06,0,0,0,9e-09,0,1595015.0
2016-06-05,0,0,0,8.9e-09,0,1595015.0
2016-06-04,0,0,0,9.8e-09,0,1595015.0
2016-06-03,0,0,0,1e-08,0,1595015.0
2016-06-02,0,0,0,9.7e-09,0,1595015.0
2016-06-01,0,0,0,1.05e-08,0,1595015.0
2016-05-31,0,0,0,1.05e-08,0,1595015.0
2016-05-30,0,0,0,1.17e-08,0,1595015.0
2016-05-29,0,0,0,1.15e-08,0,1595015.0
2016-05-28,0,0,0,9.6e-09,0,1595015.0
2016-05-27,0,0,0,9.1e-09,0,1595015.0
2016-05-26,0,0,0,9.4e-09,0,1595015.0
2016-05-25,0,0,0,1e-08,0,1595015.0
2016-05-24,0,0,0,9.5e-09,0,1595015.0
2016-05-23,0,0,0,9.4e-09,0,1595015.0
2016-05-22,0,0,0,8.9e-09,0,1595015.0
2016-05-21,0,0,0,9.2e-09,0,1595015.0
2016-05-20,0,0,0,1.02e-08,0,1595015.0
2016-05-19,0,0,0,9.3e-09,0,1595015.0
2016-05-18,0,0,0,9.5e-09,0,1595015.0
2016-05-17,0,0,0,9.8e-09,0,1595015.0
2016-05-16,0,0,0,1e-08,0,1595015.0
2016-05-15,0,0,0,9.2e-09,0,1595015.0
2016-05-14,0,0,0,1.04e-08,0,1595015.0
2016-05-13,0,0,0,9.9e-09,0,1595015.0
2016-05-12,0,0,0,9.3e-09,0,1595015.0
2016-05-11,0,0,0,8.7e-09,0,1595015.0
2016-05-10,0,0,0,9.8e-09,0,1595015.0
2016-05-09,0,0,0,8.7e-09,0,1595015.0
2016-05-08,0,0,0,9.1e-09,0,1595015.0
2016-05-07,0,0,0,9.8e-09,0,1595015.0
2016-05-06,0,0,0,8.9e-09,0,1595015.0
2016-05-05,0,0,0,1.1e-08,0,1595015.0
2016-05-04,0,0,0,1.15e-08,0,1595015.0
2016-05-03,0,0,0,1.14e-08,0,1595015.0
2016-05-02,0,0,0,1.16e-08,0,1595015.0
2016-05-01,0,0,0,1.17e-08,0,1595015.0
2016-04-30,0,0,0,1.21e-08,0,1595015.0
2016-04-29,0,0,0,1.25e-08,0,1595015.0
2016-04-28,0,0,0,1.23e-08,0,1595015.0
2016-04-27,0,0,0,1.2e-08,0,1595015.0
2016-04-26,0,0,0,1.26e-08,0,1595015.0
2016-04-25,0,0,0,1.25e-08,0,1595015.0
2016-04-24,0,0,0,1.26e-08,0,1595015.0
2016-04-23,0,0,0,1.23e-08,0,1595015.0
2016-04-22,0,0,0,1.27e-08,0,1595015.0
2016-04-21,0,0,0,1.26e-08,0,1595015.0
2016-04-20,0,0,0,1.17e-08,0,1595015.0
2016-04-19,0,0,0,1.12e-08,0,1595015.0
2016-04-18,0,0,0,1.14e-08,0,1595015.0
2016-04-17,0,0,0,1.11e-08,0,1595015.0
2016-04-16,0,0,0,1.19e-08,0,1595015.0
2016-04-15,0,0,0,1.14e-08,0,1595015.0
2016-04-14,0,0,0,1.24e-08,0,1595015.0
2016-04-13,0,0,0,1.02e-08,0,1595015.0
2016-04-12,0,0,0,1.26e-08,0,1595015.0
2016-04-11,0,0,0,1.17e-08,0,1595015.0
2016-04-10,0,0,0,1.06e-08,0,1595015.0
2016-04-09,0,0,0,1.02e-08,0,1595015.0
2016-04-08,0,0,0,9.6e-09,0,1595015.0
2016-04-07,0,0,0,1.19e-08,0,1595015.0
2016-04-06,0,0,0,1.16e-08,0,1595015.0
2016-04-05,0,0,0,1.13e-08,0,1595015.0
2016-04-04,0,0,0,1.09e-08,0,1595015.0
2016-04-03,0,0,0,1.19e-08,0,1595015.0
2016-04-02,0,0,0,1.18e-08,0,1595015.0
2016-04-01,0,0,0,1.17e-08,0,1595015.0
2016-03-31,0,0,0,1.27e-08,0,1595015.0
2016-03-30,0,0,0,1.45e-08,0,1595015.0
2016-03-29,0,0,0,1.47e-08,0,1595015.0
2016-03-28,0,0,0,1.39e-08,0,1595015.0
2016-03-27,0,0,0,1.33e-08,0,1595015.0
2016-03-26,0,0,0,1.3e-08,0,1595015.0
2016-03-25,0,0,0,1.6e-08,0,1595015.0
2016-03-24,0,0,0,1.23e-08,0,1595015.0
2016-03-23,0,0,0,1.2e-08,0,1595015.0
2016-03-22,0,0,0,1.12e-08,0,1595015.0
2016-03-21,0,0,0,1.28e-08,0,1595015.0
2016-03-20,0,0,0,1.14e-08,0,1595015.0
2016-03-19,0,0,0,1.15e-08,0,1595015.0
2016-03-18,0,0,0,1.2e-08,0,1595015.0
2016-03-17,0,0,0,1.11e-08,0,1595015.0
2016-03-16,0,0,0,1.66e-08,0,1595015.0
2016-03-15,0,0,0,1.17e-08,0,1595015.0
2016-03-14,0,0,0,1.26e-08,0,1595015.0
2016-03-13,0,0,0,1.27e-08,0,1595015.0
2016-03-12,0,0,0,1.99e-08,0,1595015.0
2016-03-11,0,0,0,1.44e-08,0,1595015.0
2016-03-10,0,0,0,1.16e-08,0,1595015.0
2016-03-09,0,0,0,1.52e-08,0,1595015.0
2016-03-08,0,0,0,1.4e-08,0,1595015.0
2016-03-07,0,0,0,1.81e-08,0,1595015.0
2016-03-06,0,0,0,1.71e-08,0,1595015.0
2016-03-05,0,0,0,1.31e-08,0,1595015.0
2016-03-04,0,0,0,1.35e-08,0,1595015.0
2016-03-03,0,0,0,1.22e-08,0,1595015.0
2016-03-02,0,0,0,1.22e-08,0,1595015.0
2016-03-01,0,0,0,1.19e-08,0,1595015.0
2016-02-29,0,0,0,1.27e-08,0,1595015.0
2016-02-28,0,0,0,1.27e-08,0,1595015.0
2016-02-27,0,0,0,1.17e-08,0,1595015.0
2016-02-26,0,0,0,1.24e-08,0,1595015.0
2016-02-25,0,0,0,1.29e-08,0,1595015.0
2016-02-24,0,0,0,1.19e-08,0,1595015.0
2016-02-23,0,0,0,1.19e-08,0,1595015.0
2016-02-22,0,0,0,1.22e-08,0,1595015.0
2016-02-21,0,0,0,1.32e-08,0,1595015.0
2016-02-20,0,0,0,1.28e-08,0,1595015.0
2016-02-19,0,0,0,1.33e-08,0,1595015.0
2016-02-18,0,0,0,1.11e-08,0,1595015.0
2016-02-17,0,0,0,1.15e-08,0,1595015.0
2016-02-16,0,0,0,1.3e-08,0,1595015.0
2016-02-15,0,0,0,1.34e-08,0,1595015.0
2016-02-14,0,0,0,1.59e-08,0,1595015.0
2016-02-13,0,0,0,1.06e-08,0,1595015.0
2016-02-12,0,0,0,1.37e-08,0,1595015.0
2016-02-11,0,0,0,1.78e-08,0,1595015.0
2016-02-10,0,0,0,2.43e-08,0,1595015.0
2016-02-09,0,0,0,1.28e-08,0,1595015.0
2016-02-08,0,0,0,2.21e-08,0,1595015.0
2016-02-07,0,0,0,2.27e-08,0,1595015.0
2016-02-06,0,0,0,2.87e-08,0,1595015.0
2016-02-05,0,0,0,1.25e-08,0,1595015.0
2016-02-04,0,0,0,2.79e-08,0,1595015.0
2016-02-03,0,0,0,1.06e-08,0,1595015.0
2016-02-02,0,0,0,1.31e-08,0,1595015.0
2016-02-01,0,0,0,1.08e-08,0,1595015.0
2016-01-31,0,0,0,7.7e-09,0,1595015.0
2016-01-30,0,0,0,1.08e-08,0,1595015.0
2016-01-29,0,0,0,1.29e-08,0,1595015.0
2016-01-28,0,0,0,6.5e-09,0,1595015.0
2016-01-27,0,0,0,1.82e-08,0,1595015.0
2016-01-26,0,0,0,1.24e-08,0,1595015.0
2016-01-25,0,0,0,1.24e-08,0,1595015.0
2016-01-24,0,0,0,1.06e-08,0,1595015.0
2016-01-23,0,0,0,7.2e-09,0,1595015.0
2016-01-22,0,0,0,6.5e-09,0,1595015.0
2016-01-21,0,0,0,6.3e-09,0,1595015.0
2016-01-20,0,0,0,6.5e-09,0,1595015.0
2016-01-19,0,0,0,5.7e-09,0,1595015.0
2016-01-18,0,0,0,5.8e-09,0,1595015.0
2016-01-17,0,0,0,6.3e-09,0,1595015.0
2016-01-16,0,0,0,6.5e-09,0,1595015.0
2016-01-15,0,0,0,6.2e-09,0,1595015.0
2016-01-14,0,0,0,7.5e-09,0,1595015.0
2016-01-13,0,0,0,7.6e-09,0,1595015.0
2016-01-12,0,0,0,7.9e-09,0,1595015.0
2016-01-11,0,0,0,6.8e-09,0,1595015.0
2016-01-10,0,0,0,6.3e-09,0,1595015.0
2016-01-09,0,0,0,6.8e-09,0,1595015.0
2016-01-08,0,0,0,6.8e-09,0,1595015.0
2016-01-07,0,0,0,6.4e-09,0,1595015.0
2016-01-06,0,0,0,6.1e-09,0,1595015.0
2016-01-05,0,0,0,6.8e-09,0,1595015.0
2016-01-04,0,0,0,6.2e-09,0,1595015.0
2016-01-03,0,0,0,6.1e-09,0,1595015.0
2016-01-02,0,0,0,6.1e-09,0,1595015.0
2016-01-01,0,0,0,6.4e-09,0,1595015.0
2015-12-31,0,0,0,6.5e-09,0,1595015.0
2015-12-30,0,0,0,6.5e-09,0,1595015.0
2015-12-29,0,0,0,6.6e-09,0,1595015.0
2015-12-28,0,0,0,5.8e-09,0,1595015.0
2015-12-27,0,0,0,8e-09,0,1595015.0
2015-12-26,0,0,0,5.6e-09,0,1595015.0
2015-12-25,0,0,0,5.8e-09,0,1595015.0
2015-12-24,0,0,0,5.6e-09,0,1595015.0
2015-12-23,0,0,0,5.5e-09,0,1595015.0
2015-12-22,0,0,0,5.2e-09,0,1595015.0
2015-12-21,0,0,0,5.2e-09,0,1595015.0
2015-12-20,0,0,0,5.7e-09,0,1595015.0
2015-12-19,0,0,0,5.3e-09,0,1595015.0
2015-12-18,0,0,0,6.4e-09,0,1595015.0
2015-12-17,0,0,0,6.3e-09,0,1595015.0
2015-12-16,0,0,0,5.9e-09,0,1595015.0
2015-12-15,0,0,0,6.1e-09,0,1595015.0
2015-12-14,0,0,0,1.81e-08,0,1595015.0
2015-12-13,0,0,0,5.4e-09,0,1595015.0
2015-12-12,0,0,0,5e-09,0,1595015.0
2015-12-11,0,0,0,5.3e-09,0,1595015.0
2015-12-10,0,0,0,4.8e-09,0,1595015.0
2015-12-09,0,0,0,5.3e-09,0,1595015.0
2015-12-08,0,0,0,5.7e-09,0,1595015.0
2015-12-07,0,0,0,5.8e-09,0,1595015.0
2015-12-06,0,0,0,5.1e-09,0,1595015.0
2015-12-05,0,0,0,5.6e-09,0,1595015.0
2015-12-04,0,0,0,4.6e-09,0,1595015.0
2015-12-03,0,0,0,5.1e-09,0,1595015.0
2015-12-02,0,0,0,5e-09,0,1595015.0
2015-12-01,0,0,0,5.9e-09,0,1595015.0
2015-11-30,0,0,0,5e-09,0,1595015.0
2015-11-29,0,0,0,4.9e-09,0,1595015.0
2015-11-28,0,0,0,5.4e-09,0,1595015.0
2015-11-27,0,0,0,5.7e-09,0,1595015.0
2015-11-26,0,0,0,5.5e-09,0,1595015.0
2015-11-25,0,0,0,5.2e-09,0,1595015.0
2015-11-24,0,0,0,5.4e-09,0,1595015.0
2015-11-23,0,0,0,5.7e-09,0,1595015.0
2015-11-22,0,0,0,5.7e-09,0,1595015.0
2015-11-21,0,0,0,6.5e-09,0,1595015.0
2015-11-20,0,0,0,6.4e-09,0,1595015.0
2015-11-19,0,0,0,6.5e-09,0,1595015.0
2015-11-18,0,0,0,7e-09,0,1595015.0
2015-11-17,0,0,0,7.1e-09,0,1595015.0
2015-11-16,0,0,0,7e-09,0,1595015.0
2015-11-15,0,0,0,6.2e-09,0,1595015.0
2015-11-14,0,0,0,5.9e-09,0,1595015.0
2015-11-13,0,0,0,6.3e-09,0,1595015.0
2015-11-12,0,0,0,6.6e-09,0,1595015.0
2015-11-11,0,0,0,6.6e-09,0,1595015.0
2015-11-10,0,0,0,7e-09,0,1595015.0
2015-11-09,0,0,0,9.7e-09,0,1595015.0
2015-11-08,0,0,0,1.07e-08,0,1595015.0
2015-11-07,0,0,0,1.16e-08,0,1595015.0
2015-11-06,0,0,0,1.14e-08,0,1595015.0
2015-11-05,0,0,0,1.21e-08,0,1595015.0
2015-11-04,0,0,0,9e-09,0,1595015.0
2015-11-03,0,0,0,9.6e-09,0,1595015.0
2015-11-02,0,0,0,9.4e-09,0,1595015.0
